Name,Location,Duration,Fees (total),Thesis,Better for,Requirements,Application fees,Deadline,,Rating
New York University,New York,2 years (4 sems),66090,Yes,Industry,TOEFL (90) GPA (3.0)    SOP                    2 LORs Transcripts Resume/CV Portfolio   Video essay Certification of Finances Interview,75,"December 1, 2022",,Moderate (Tandon Campus)
Indiana University Purdue University Indianapolis (IUPUI),"Indianapolis, Indiana",2 years (4 sems),,Yes,Both,GRE (opt)  TOEFL (79) GPA (3.0)    SOP                    3 LORs Transcripts Resume/CV Portfolio ,70,"January 15, 2023",,Moderate (Tandon Campus)
Northwestern University,Illinois,1.5 years (6 quarters),80080,Yes,Both,GRE (opt)  TOEFL (95) GPA (3.0)    SOP                    2 LORs Transcripts Resume/CV Portfolio Interview ,,"January 15, 2023",,Ambitious
San Jose State University,Silicon Valley,2 years (4 sems),67720,Yes,Industry,TOEFL (80)  GPA (3.0)       SOP                    3 LORs Transcripts Resume/CV Portfolio,,"February 1, 2023",,Safe
Iowa State University,"Ames, Iowa",2 years (4 sems),57088,Yes,,"GRE (opt)     TOEFL (95)  GPA (3.0)    
SOP                   3 LORs Transcripts  Resume/CV",100,"January 15, 2023",,Moderate
Pratt Institute,"Manhattan, New York",2 years (4 sems),57996,No,Industry,GRE          TOEFL (82)   GPA (3.0)        SOP                   2 LORs Transcripts Resume/CV Portfolio (opt),90,"January 5, 2023",,High Moderate
Rochester Institute of Technology (RIT),New York,2 years (4 sems),118752,Yes,Both,GRE         TOEFL (88)     GPA (3.0)     SOP                   2 LORs     Transcripts     Resume/CV,65,"February 15, 2023",,Safe
Indiana University Bloomington,"Bloomington, Indiana",2 years (4 sems),85380,No,Industry,GRE (opt)  TOEFL (100)  GPA (3.0 / 3.5)  SOP                    3 LORs  Transcripts  Resume/CV  Portfolio,70,"January 1, 2023",,Moderate
University of Maryland,College Park,2 years (4 sems),62456.4,No,Research,GRE (opt)   TOEFL (100)  GPA (3.0)   SOP                  3 Essay Questions        3 LORs     Transcripts     Resume/CV  Portfolio,75,"January 14, 2023",,High Moderate (not recommended as tends to take PhD students
University of Michigan,"Ann Arbor, Michigan",2 years (4 sems),100272,Yes,Industry,TOEFL (100)  GPA (3.0)  SOP (essays)     3 LORs Transcripts  Resume/CV,90,"January 15, 2023",,Ambitious
Georgia Tech,Atlanta,2 years (4 sems),73828,No,Both,TOEFL (100)   GPA (3.0)    SOP                  3 LORs Transcripts Resume/CV,85,"February 1, 2023",,Ambitious
,,,,,,,,,,
Other Universities to consider,,,,,,,,,,
CMU,,,,,,,,,,Ambitious
Univ of Washington,,,,,,,,,,High Moderate
ASU - User Experience,,,,,,,,,,Moderate
,,,,,,,,,,
Recommended Number of Universities:,,,,,,,,,,
"2 Ambitious, 2 High Moderate, 4 Moderate, 2 Safe",,,,,,,,,,
